0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "POST /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:04 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "POST /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "POST /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "POST /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:05 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:36 +0800] "GET /hello HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:36:37 +0800] "GET /hello/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:42:10 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:20 +0800] "GET /cloudprint HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:20 +0800] "GET /cloudprint/ HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/welcome.html HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/js/jquery-2.2.1.min.js HTTP/1.1" 200 85630
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/js/welcome.js HTTP/1.1" 200 276
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:50:37 +0800] "GET /cloudprint/hello.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/hello2 HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/js/welcome.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/js/bootstrap.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/css/bootstrap.min.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/js/jquery-2.2.1.min.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:12 +0800] "GET /hello/hello.html HTTP/1.1" 406 1067
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:27 +0800] "GET /cloudprint/order.html HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:27 +0800] "GET /cloudprint/js/order.js HTTP/1.1" 200 36
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:29 +0800] "GET /cloudprint/recovery.html HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:29 +0800] "GET /cloudprint/js/recovery.js HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:35 +0800] "GET /cloudprint/school.html HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:35 +0800] "GET /cloudprint/js/school.js HTTP/1.1" 200 430
0:0:0:0:0:0:0:1%0 - - [12/Apr/2016:21:51:35 +0800] "GET /cloudprint/img/1413012235-43G.png HTTP/1.1" 200 1456638
